Percent,State,County
18.5,AL,Alabama
12.7,AL,Autauga County
12.9,AL,Baldwin County
32.0,AL,Barbour County
22.2,AL,Bibb County
14.7,AL,Blount County
39.6,AL,Bullock County
25.8,AL,Butler County
20.0,AL,Calhoun County
22.4,AL,Chambers County
19.4,AL,Cherokee County
20.2,AL,Chilton County
24.4,AL,Choctaw County
22.2,AL,Clarke County
18.4,AL,Clay County
18.9,AL,Cleburne County
16.2,AL,Coffee County
18.1,AL,Colbert County
28.3,AL,Conecuh County
20.3,AL,Coosa County
22.3,AL,Covington County
19.9,AL,Crenshaw County
19.4,AL,Cullman County
18.5,AL,Dale County
34.6,AL,Dallas County
20.6,AL,DeKalb County
14.0,AL,Elmore County
24.4,AL,Escambia County
19.0,AL,Etowah County
20.4,AL,Fayette County
21.1,AL,Franklin County
22.4,AL,Geneva County
37.7,AL,Greene County
28.5,AL,Hale County
17.0,AL,Henry County
18.3,AL,Houston County
18.4,AL,Jackson County
18.0,AL,Jefferson County
24.7,AL,Lamar County
17.3,AL,Lauderdale County
18.7,AL,Lawrence County
21.0,AL,Lee County
14.3,AL,Limestone County
35.2,AL,Lowndes County
32.2,AL,Macon County
13.3,AL,Madison County
23.3,AL,Marengo County
19.8,AL,Marion County
20.1,AL,Marshall County
18.4,AL,Mobile County
28.6,AL,Monroe County
22.8,AL,Montgomery County
16.4,AL,Morgan County
40.0,AL,Perry County
24.3,AL,Pickens County
25.9,AL,Pike County
18.7,AL,Randolph County
23.0,AL,Russell County
12.4,AL,St. Clair County
8.5,AL,Shelby County
33.2,AL,Sumter County
22.4,AL,Talladega County
21.7,AL,Tallapoosa County
20.0,AL,Tuscaloosa County
20.6,AL,Walker County
22.4,AL,Washington County
33.2,AL,Wilcox County
18.9,AL,Winston County
10.4,AK,Alaska
17.4,AK,Aleutians East Borough
8.5,AK,Aleutians West Census Area
8.7,AK,Anchorage Borough
24.2,AK,Bethel Census Area
9.0,AK,Bristol Bay Borough
6.6,AK,Denali Borough
20.0,AK,Dillingham Census Area
8.1,AK,Fairbanks North Star Borough
10.9,AK,Haines Borough
16.2,AK,Hoonah-Angoon Census Area
8.0,AK,Juneau Borough
11.4,AK,Kenai Peninsula Borough
10.3,AK,Ketchikan Gateway Borough
7.5,AK,Kodiak Island Borough
31.8,AK,Kusilvak Census Area
19.3,AK,Lake and Peninsula Borough
9.8,AK,Matanuska-Susitna Borough
21.4,AK,Nome Census Area
12.6,AK,North Slope Borough
26.3,AK,Northwest Arctic Borough
7.9,AK,Petersburg Borough
15.6,AK,Prince of Wales-Hyder Census Area
9.2,AK,Sitka Borough
3.7,AK,Skagway Municipality
13.5,AK,Southeast Fairbanks Census Area
9.5,AK,Valdez-Cordova Census Area
12.0,AK,Wrangell City and Borough
15.4,AK,Yakutat Borough
23.4,AK,Yukon-Koyukuk Census Area
17.4,AZ,Arizona
38.0,AZ,Apache County
16.9,AZ,Cochise County
19.5,AZ,Coconino County
21.3,AZ,Gila County
22.9,AZ,Graham County
10.1,AZ,Greenlee County
22.2,AZ,La Paz County
16.3,AZ,Maricopa County
17.4,AZ,Mohave County
28.1,AZ,Navajo County
18.7,AZ,Pima County
15.8,AZ,Pinal County
24.4,AZ,Santa Cruz County
15.1,AZ,Yavapai County
21.1,AZ,Yuma County
18.7,AR,Arkansas
20.7,AR,Arkansas County
19.6,AR,Ashley County
16.4,AR,Baxter County
10.8,AR,Benton County
16.5,AR,Boone County
28.0,AR,Bradley County
16.7,AR,Calhoun County
16.6,AR,Carroll County
31.4,AR,Chicot County
22.5,AR,Clark County
20.8,AR,Clay County
15.6,AR,Cleburne County
18.1,AR,Cleveland County
23.8,AR,Columbia County
17.8,AR,Conway County
17.3,AR,Craighead County
14.4,AR,Crawford County
25.9,AR,Crittenden County
21.5,AR,Cross County
21.3,AR,Dallas County
30.9,AR,Desha County
21.2,AR,Drew County
14.8,AR,Faulkner County
18.2,AR,Franklin County
19.4,AR,Fulton County
19.3,AR,Garland County
13.2,AR,Grant County
17.1,AR,Greene County
24.1,AR,Hempstead County
20.8,AR,Hot Spring County
18.7,AR,Howard County
18.0,AR,Independence County
19.8,AR,Izard County
27.5,AR,Jackson County
26.5,AR,Jefferson County
21.8,AR,Johnson County
22.7,AR,Lafayette County
23.7,AR,Lawrence County
35.9,AR,Lee County
25.1,AR,Lincoln County
19.9,AR,Little River County
20.5,AR,Logan County
11.9,AR,Lonoke County
18.8,AR,Madison County
18.8,AR,Marion County
22.3,AR,Miller County
26.3,AR,Mississippi County
30.9,AR,Monroe County
21.8,AR,Montgomery County
24.0,AR,Nevada County
24.2,AR,Newton County
22.8,AR,Ouachita County
16.8,AR,Perry County
37.3,AR,Phillips County
18.5,AR,Pike County
23.9,AR,Poinsett County
24.4,AR,Polk County
20.8,AR,Pope County
19.6,AR,Prairie County
19.4,AR,Pulaski County
17.6,AR,Randolph County
30.7,AR,St. Francis County
10.7,AR,Saline County
20.8,AR,Scott County
22.2,AR,Searcy County
22.1,AR,Sebastian County
20.8,AR,Sevier County
24.6,AR,Sharp County
21.5,AR,Stone County
19.7,AR,Union County
19.0,AR,Van Buren County
16.9,AR,Washington County
19.7,AR,White County
25.8,AR,Woodruff County
17.8,AR,Yell County
15.4,CA,California
11.5,CA,Alameda County
19.0,CA,Alpine County
13.1,CA,Amador County
21.4,CA,Butte County
13.0,CA,Calaveras County
13.2,CA,Colusa County
10.2,CA,Contra Costa County
23.3,CA,Del Norte County
9.1,CA,El Dorado County
25.2,CA,Fresno County
18.5,CA,Glenn County
20.9,CA,Humboldt County
24.3,CA,Imperial County
12.4,CA,Inyo County
21.9,CA,Kern County
22.4,CA,Kings County
20.5,CA,Lake County
17.1,CA,Lassen County
16.7,CA,Los Angeles County
22.6,CA,Madera County
7.5,CA,Marin County
15.2,CA,Mariposa County
20.3,CA,Mendocino County
25.9,CA,Merced County
20.3,CA,Modoc County
11.2,CA,Mono County
15.3,CA,Monterey County
10.1,CA,Napa County
12.4,CA,Nevada County
12.7,CA,Orange County
8.6,CA,Placer County
13.8,CA,Plumas County
16.2,CA,Riverside County
16.9,CA,Sacramento County
9.3,CA,San Benito County
18.9,CA,San Bernardino County
13.9,CA,San Diego County
12.4,CA,San Francisco County
17.5,CA,San Joaquin County
14.4,CA,San Luis Obispo County
8.4,CA,San Mateo County
15.6,CA,Santa Barbara County
8.3,CA,Santa Clara County
15.4,CA,Santa Cruz County
19.0,CA,Shasta County
13.8,CA,Sierra County
22.6,CA,Siskiyou County
12.0,CA,Solano County
11.0,CA,Sonoma County
19.5,CA,Stanislaus County
17.5,CA,Sutter County
22.5,CA,Tehama County
19.7,CA,Trinity County
27.2,CA,Tulare County
14.5,CA,Tuolumne County
9.9,CA,Ventura County
17.5,CA,Yolo County
21.6,CA,Yuba County
11.5,CO,Colorado
12.8,CO,Adams County
24.0,CO,Alamosa County
9.2,CO,Arapahoe County
13.1,CO,Archuleta County
20.8,CO,Baca County
36.7,CO,Bent County
12.3,CO,Boulder County
4.9,CO,Broomfield County
11.7,CO,Chaffee County
11.7,CO,Cheyenne County
9.6,CO,Clear Creek County
20.2,CO,Conejos County
28.2,CO,Costilla County
44.3,CO,Crowley County
15.1,CO,Custer County
15.8,CO,Delta County
15.7,CO,Denver County
14.9,CO,Dolores County
3.4,CO,Douglas County
7.6,CO,Eagle County
5.9,CO,Elbert County
11.0,CO,El Paso County
17.2,CO,Fremont County
10.3,CO,Garfield County
8.0,CO,Gilpin County
8.3,CO,Grand County
12.5,CO,Gunnison County
10.9,CO,Hinsdale County
23.2,CO,Huerfano County
13.9,CO,Jackson County
7.9,CO,Jefferson County
13.9,CO,Kiowa County
12.2,CO,Kit Carson County
15.7,CO,Lake County
9.4,CO,La Plata County
12.2,CO,Larimer County
19.3,CO,Las Animas County
19.4,CO,Lincoln County
15.5,CO,Logan County
14.1,CO,Mesa County
9.4,CO,Mineral County
11.7,CO,Moffat County
19.3,CO,Montezuma County
17.7,CO,Montrose County
12.1,CO,Morgan County
20.6,CO,Otero County
9.4,CO,Ouray County
9.2,CO,Park County
11.1,CO,Phillips County
7.0,CO,Pitkin County
19.6,CO,Prowers County
19.8,CO,Pueblo County
9.7,CO,Rio Blanco County
17.2,CO,Rio Grande County
8.9,CO,Routt County
29.6,CO,Saguache County
15.6,CO,San Juan County
11.0,CO,San Miguel County
13.6,CO,Sedgwick County
8.7,CO,Summit County
8.8,CO,Teller County
11.4,CO,Washington County
11.3,CO,Weld County
